Date,Kaide,Huide,Kaiyuan,Yuexiu,Hualian,Chunquan
2013/6/28,-0.0720 ,-0.041229385,-0.004,-0.025356364,0,0.0574
2013/5/31,-0.0733 ,0.012139605,0.0081,-0.002275541,-0.02021904,-0.05699
2013/4/30,0.1221 ,-0.004907512,0.0087,0.016324865,0.01366354,0.00573
2013/3/29,-0.0279 ,0.012614679,0,0.078217822,-0.02660017,-0.0085
2013/2/28,0.0141 ,-0.012084592,-0.0086,0.022535528,0.04155844,0.01733
2013/1/31,-0.0010 ,0.012232416,0.0212,0.086933485,0,0.01764
2012/12/31,0.0290 ,-0.0026687,-0.0041,-0.010764827,0.00697472,0.00293
2012/11/30,-0.0117 ,-0.002282237,-0.0167,0.005431919,-0.05919344,0.00297
2012/10/31,0.0564 ,0.063941724,0.0087,-0.023744509,0.0066052,-0.00588
2012/9/28,0.0202 ,0.045262267,-0.0126,0.049856662,0.00678858,0
2012/8/31,0.0102 ,-0.016229713,-0.012,-0.005536504,-0.00674281,-0.00295
2012/7/31,0.0390 ,0.070855615,0,0.031758888,-0.00656186,0
2012/6/29,0.0524 ,-0.010582011,0.0204,0.087680252,-0.01930554,0.03023
2012/5/31,0.0083 ,-0.03407155,0,-0.144980971,0,0.00913
2012/4/30,0.0096 ,-0.015513627,0.0171,0.024949208,-0.00639403,0.00307
2012/3/30,0.0028 ,-0.030093534,-0.0208,0,0,0
2012/2/29,0.0526 ,0.075207696,0,0.107112331,0,0.00615
2012/1/31,0.0134 ,0.078773585,0.0189,0.061252745,0.01295372,0
2011/12/30,-0.0258 ,0.020211742,0.0079,0.008813755,0,-0.00916
2011/11/30,-0.0640 ,0.011684518,0,-0.052912466,-0.03753247,0.00924
2011/10/31,0.0381 ,0.116304348,0,0.065257532,0.01275812,0.01891
2011/9/30,-0.0214 ,-0.217687075,0.0122,-0.166362863,-0.0125974,0
2011/8/31,-0.0080 ,-0.13306303,-0.0198,-0.018760682,0.05263158,0.02813
2011/7/29,0.0203 ,-0.047736048,0,0.059683262,-0.00651908,-0.04192
2011/6/30,-0.0650 ,-0.012135922,0,0,0,0.02769
2011/5/31,0.0582 ,0.029632274,0.0202,-0.024247904,0.00656186,0.00309
2011/4/29,0.0176 ,,-0.0198,0.043664751,-0.03787978,0.01568
2011/3/31,0.0387 ,,0,-0.024069655,0.01930554,-0.01544
2011/2/28,-0.0474 ,,0,-0.041449322,0,0.02857
2011/1/31,-0.0137 ,,0,0,0,0
2010/12/31,0.0598 ,,0,0.061097628,0,0.00316
2010/11/30,-0.0707 ,,0.0037,0.01490796,-0.00639403,-0.00945
2010/10/29,-0.0680 ,,-0.0037,0.035992479,0.01295372,0.00637
2010/9/30,0.1083 ,,0,0.063005615,0,-0.00633
2010/8/31,0.0157 ,,0.0037,0.070831635,0,-0.01553
2010/7/30,0.0502 ,,0,0.072936031,0.00651908,0.02547
2010/6/30,0.0110 ,,-0.0078,0.031352205,-0.00647686,-0.00631
2010/5/31,-0.0714 ,,0.0041,-0.050591573,-0.00643518,-0.02469
2010/4/30,0.1205 ,,-0.0041,0.059260519,0.00647686,-0.01819
2010/3/31,0.0000 ,,0.0041,0.092700459,-0.02525319,0.00916
2010/2/26,0.0473 ,,0.0821,0.02029462,0.03259541,0.03156
2010/1/29,-0.0474 ,,-0.0214,0.006810948,0,-0.01246
2009/12/31,0.0465 ,,-0.0522,-0.006764873,-0.00995025,0
2009/11/30,0.0750 ,,0.0207,-0.010014396,-0.0123506,-0.03022
2009/10/30,-0.1229 ,,0.0382,0.092444444,0.06581741,-0.01778
2009/9/30,0.1349 ,,0.0215,0.036425484,-0.03192656,0.00595
2009/8/31,0.0316 ,,0.0137,0.007281034,0.01955854,-0.02616
2009/7/31,0.1439 ,,0.0087,0.083365556,0.01980339,0.02079
2009/6/30,0.0526 ,,-0.0131,0.072311137,0.00674125,-0.00591
2009/5/29,0.0641 ,,0.0553,0.133471191,0,0.00297
2009/4/30,-0.0376 ,,-0.1289,0.084174055,0,-0.03428
2009/3/31,0.1309 ,,-0.0096,0.167658258,-0.01316348,0.03787
2009/2/27,-0.1062 ,,0.0441,-0.033578657,-0.01299246,0.01159
2009/1/30,0.0306 ,,-0.0043,0,0,-0.01145
2008/12/31,-0.0648 ,,-0.0197,0.193358035,0,-0.00283
2008/11/28,-0.1053 ,,0.0162,0,-0.0253268,-0.00286
2008/10/31,-0.1364 ,,0.0204,-0.347160007,0.01929216,0.01441
2008/9/30,-0.1818 ,,-0.0162,-0.050042553,-0.01274322,-0.00573
2008/8/29,-0.0833 ,,-0.0076,-0.074730294,-0.01869033,0.02047
2008/7/31,0.0147 ,,0.0587,-0.003531073,0.00635995,0.0209
2008/6/30,-0.0966 ,,0.004,-0.027620937,-0.0185923,-0.00593
2008/5/30,-0.0489 ,,0.0086,-0.023543436,0.05196982,0.01507
2008/4/30,0.0187 ,,-0.0525,0.018361153,0,-0.00598
2008/3/31,0.0551 ,,0.0333,0,-0.00652325,0
2008/2/29,0.1047 ,,0.0393,0.037713566,0,0.00298
2008/1/31,-0.1382 ,,-0.0335,-0.05195193,0.01307649,0.01215
2007/12/31,0.0746 ,,-0.0324,-0.003273566,0,0.00306
2007/11/30,-0.1083 ,,-0.0318,-0.012780022,-0.00642638,-0.00907
2007/10/31,-0.0615 ,,-0.0184,0.042416354,0,-0.01779
2007/9/28,0.1471 ,,0,0.013030327,0,-0.00297
2007/8/31,-0.0878 ,,-0.0145,-0.019170787,0,0.0305
2007/7/31,-0.1090 ,,0.0036,0.016235021,0,0.01862
2007/6/29,0.0394 ,,-0.0218,0.006536456,0.01980339,0.01261
2007/5/31,0.0201 ,,-0.0243,0.007605457,0.0203518,0.0179
2007/4/30,0.0667 ,,-0.0237,0.01617401,0,0.01565
2007/3/30,0.0743 ,,0.0243,-0.022203179,0,-0.00314
2007/2/28,0.0802 ,,0.007,0.019377382,-0.01333907,-0.00926
2007/1/31,0.1246 ,,-0.0305,0.00978348,0,0.04857
2006/12/29,0.0544 ,,0.0034,0.009880143,0,0.02318
2006/11/30,0.0656 ,,-0.0034,-0.019377382,0.01351941,-0.00329
2006/10/31,0.0313 ,,0.0461,0.02075227,0,0.0448
2006/9/29,0.0763 ,,-0.0342,0.003089933,0.01370469,-0.02357
2006/8/31,0.0630 ,,0.0174,0.074624257,0,0.05696
2006/7/31,0.0604 ,,0.0517,-0.048395144,-0.00687838,0.02183
2006/6/30,-0.0139 ,,-0.0391,0.042024088,0,-0.0108
2006/5/31,-0.0900 ,,-0.0373,-0.063002354,0,-0.03806
